t,px,py,pz,vx,vy,vz,qw,qx,qy,qz,wx,wy,wz,omega_0,servo_0_0,omega_1,servo_1_0,omega_2,servo_2_0,omega_3,servo_3_0
13.409999999999759,0.1756116735475139,0.2137307188430122,1.34717439758269,-0.20081879869473812,-0.021113506111969937,-0.22124867795721664,-0.7724554794287575,-0.003964711363401762,0.04769452997904713,0.6332630141542243,-0.039665208211506875,-0.10602543931920183,-0.8208431015967493,1.879703220954349,-0.052191999790587904,2.0048488441187695,0.17229613881368702,1.8700999363979862,0.052191999790587904,1.9842891519514945,-0.17229613881368702
13.419999999999758,0.17360924317206392,0.21353137679950837,1.3449693959354916,-0.19966845777284642,-0.018748614292518798,-0.2197517871580338,-0.7698136025310235,-0.003668236521076133,0.04796456160296627,0.6364534249656291,-0.040217167027445794,-0.10796924625713775,-0.8280586511298736,1.8756544554247763,-0.05235384482547919,2.011624716143179,0.172896276713314,1.866005709364306,0.05235384482547919,1.9896968679901812,-0.172896276713314
13.429999999999758,0.17161858294719043,0.21335564483070402,1.3427799028530267,-0.19846482102082663,-0.01639137698830722,-0.21814696581343984,-0.7671339490823101,-0.0033666426969907893,0.048239172910903905,0.6396617481140274,-0.040364224823556415,-0.10948962849648727,-0.835871216054949,1.871574502708167,-0.05249550586649301,2.018125049917241,0.17349638822220315,1.8619214707790552,0.05249550586649301,1.9949695011978856,-0.17349638822220315
13.439999999999758,0.16964021808929594,0.21320344464061866,1.3406069506154064,-0.19720948608445443,-0.014042225133852154,-0.2164436164018019,-0.7644144012776093,-0.0030626440583491205,0.04851798440092865,0.6428897638331142,-0.04020703885374847,-0.11066949549256942,-0.8442570618909259,1.867471235826536,-0.05262265771576519,2.0243121392962444,0.17409673045691323,1.8578439899748085,0.05262265771576519,2.0001681880570166,-0.17409673045691323
13.449999999999758,0.1676746572317475,0.21307469276710314,1.3384514804419056,-0.19590415835699596,-0.011701741132615497,-0.2146505492014908,-0.7616528687627923,-0.002758223316407853,0.04880065399897715,0.6461391458498976,-0.03986467669422389,-0.1116186986198336,-0.8531881713457613,1.8633582434326834,-0.05274153446489694,2.0301650869327683,0.17469733318926262,1.853773435378904,0.05274153446489694,2.0053269470266644,-0.17469733318926262
13.459999999999757,0.1657223916342452,0.21296929977633497,1.3363143482209758,-0.19455059170457306,-0.009370513996150465,-0.21277602081677166,-0.7588472943628697,-0.0024545326876622454,0.04908690642577028,0.6494114525057649,-0.039457722383973076,-0.11245728451564614,-0.8626346564216703,1.8592524350248012,-0.052858189274488196,2.035680625742582,0.175298022385193,1.8497127829488245,0.052858189274488196,2.0104548185506856,-0.175298022385193
13.469999999999757,0.1637838949979854,0.21288717079714037,1.3341963298687431,-0.19315052866185473,-0.007049019347956577,-0.21082776985106697,-0.7559956559019507,-0.002151905560806562,0.0493765507781359,0.6527081229106805,-0.03909405548120566,-0.11330040586663842,-0.8725670552754139,1.8551715919261795,-0.05297789844250407,2.040871737588207,0.17589846619314783,1.8456670143933314,0.05297789844250407,2.0155404376540837,-0.17589846619314783
13.479999999999757,0.16185962385471475,0.21282820709603456,1.3320981263442788,-0.19170564720759548,-0.004737533826067201,-0.20881304978886558,-0.7530959644255867,-0.0018499589212807046,0.04966948697103075,0.656030477952228,-0.038858507138852263,-0.1142463156952035,-0.882958268833756,1.8511321573415873,-0.05310475357506242,2.0457646089667256,0.1764982353029997,1.8416422229311524,0.05310475357506242,2.02055809717723,-0.1764982353029997
13.489999999999757,0.15995001843496437,0.21279230832519594,1.3300203683478975,-0.19021751941762244,-0.0024360878903832953,-0.2067386594394628,-0.7501462594788034,-0.0015477595352280573,0.04996570262153853,0.6593797254329448,-0.038806942831549326,-0.11536828555196528,-0.8937849730498195,1.847147486394217,-0.05324145682928393,2.0503945586329353,0.17709686894777038,1.837644732184484,0.05324145682928393,2.0254743514283478,-0.17709686894777038
13.499999999999757,0.15805550387828265,0.21277937506032274,1.3279636207254262,-0.18868758511716144,-0.00014445600841139078,-0.20461097125847208,-0.7471446023081975,-0.0012440241241257009,0.05026526254532819,0.6627569682371093,-0.03896471348865901,-0.11671070492885323,-0.9050284295808438,1.8432266902165222,-0.05338930846115944,2.0548015804569246,0.17769393825889102,1.8336803143696734,0.05338930846115944,2.0302543145563345,-0.17769393825889102
